HOLEID,X,Y,Z,fr,xr,recovery_pct,ag_ppm,au_ppm,cu_ppm,fe_ppm,s_ppm,si_ppm
18,-546.5397990001366,240.87198000214997,330.434639354,0.242,0.0434,0.82422659250156,3.40591290451458,0.29,10972.8656518861,100514.34223541002,3130.0,307000.989119683
19,948.1344509999036,-509.0246509965509,307.2882,0.2420348139860703,0.0463456733897202,0.8819,2.438782,0.1715,12640.76,86633.37000000001,7370.0,267422.58
24,-498.8598250000505,210.34668000228703,399.435,0.257,0.0158,0.9113503325889724,2.09080047789725,0.052,4438.8489208633,26944.2870632672,1140.0,407690.273843248
26,782.8511749999598,-752.7613199967891,397.077,0.2423999999999999,0.0183,0.9366095673836188,2.31408227848101,0.22,4903.77798677328,67915.7972668124,1910.0,321528.046093144
28,-526.5989160001045,294.0251100026071,322.660747951,0.218,0.0486,0.743795702900535,3.64316660102402,0.69,11577.5737071048,329165.510406342,3469.9999999999995,172003.96432111
28,-524.2859700000845,301.15281000360847,303.311206861,0.272,0.0327999999999999,0.717578188738163,4.42760271240526,0.42,10434.195536103702,294666.009852216,3200.0,175694.581280788
29,897.0761479999637,-597.9162699971348,347.6997,0.2628108449370418,0.0234421359223301,0.8151443341801756,3.782178,0.163,6479.89,243673.59,2150.0,200091.0
29,878.1009719999274,-647.3482939973474,209.7632,0.2116523774417562,0.0347638680169879,0.9042259345223678,4.188221,0.377,8561.88,289069.68,2960.0,188084.18
39,601.9311749999179,-666.227319996804,336.522,0.287,0.0175,0.8145376674098379,3.47826086956521,0.446,5400.19102196752,255162.702188392,2150.0,190968.601332064
44,438.450174999889,-533.083319997415,322.729,0.3829999999999999,0.022,0.9535285272499204,5.41458541458541,0.297,9537.14097061736,183495.668912415,3170.0,212708.37343599604
48,418.5830379999243,-313.3954599965364,149.4158,0.3302318103716803,0.0754744639376218,0.852610370194366,5.96033,3.001243,27222.24,543932.52,11900.0,57866.54
48,416.4956599998986,-319.81974999792874,130.8568,0.2504535262943335,0.0343367627785058,0.8958402596491698,4.860699,0.901,10029.34,316546.65,3670.0,162557.96
58,340.9121749999467,-99.80331999622284,172.923,0.3293999999999999,0.0489,0.8125472382528851,9.21732220897894,1.09,17742.8571428571,346798.02955665,5330.0,150366.502463054
62,-740.7898250001017,565.3036800026894,312.076,0.366,0.006,0.8231699821146204,3.38949454905847,0.128,2608.4452975047902,193563.327032136,954.0,223408.31758034
64,-691.3626440000953,425.9038400035352,174.002613231,0.218,0.0447,0.8442088024850191,5.18328734726054,0.53,10569.0499510284,285261.450381679,3620.0,194824.427480916
64,-666.6618250000756,480.4216800034046,308.474,0.367,0.0559999999999999,0.8958499999966056,12.1010901883052,1.808,21958.5687382297,413609.478672985,7370.0,122517.53554502298
64,-685.3746800001245,438.0715500023216,203.757852084,0.214,0.0499,0.8726244416414443,5.39597047676042,0.66,11265.503875969,273178.571428571,3690.0,199609.126984127
64,-676.1166160000721,458.0034400019794,253.082502836,0.218,0.0547,0.8770035941856985,3.99093417422152,0.29,11968.7652513421,283440.158259149,4110.0,181082.096933729
68,-989.1518250000664,616.0876800026745,344.313,0.317,0.023,0.8431439600812665,6.3800549666274,0.467,8252.80898876404,285078.125,2760.0000000000005,184384.765625
81,924.34417499986,-662.8453199975193,431.165,0.2352,0.0368,0.8961899824727915,4.74539330295224,0.2,9741.18783196523,312756.756756756,3650.0,184643.056849953
86,311.26317499997094,-36.40431999787688,142.767,0.2589,0.0157,0.797354381183449,4.41234276729559,0.52,4703.57667809897,273964.356435643,1270.0,202170.297029703
101,349.14817499986384,57.59168000333011,126.552,0.27,0.017,0.8992715566557059,3.70481326143399,0.192,4865.78073089701,232720.90823084203,1419.9999999999998,211271.523178808
132,461.21285499993246,-329.2256899978965,152.0041,0.2989800212412079,0.0662085461689587,0.8982240072590875,6.453222,1.040684,21032.88,303288.07,6919.999999999999,157695.05000000002
133,495.39349599997513,-252.7811899967492,195.3992,0.234099513520533,0.0481955714750894,0.8024543016692782,4.596323,0.8845,12103.13,441740.67,4720.0,118927.11
