HOLEID,X,Y,Z,th1,th2,th3,F80,P80,M,A,cu_ppm,si_ppm,fe_ppm,s_ppm,A_x_M,th_avg,P80_over_F80
28,-521.629283000133,309.861240003258,279.706384381,0.0428685143143653,0.1646463448549634,0.3247159835011329,2346.9336993520114,80.5014311717521,0.9764065120322094,106.0,6050.38759689922,207778.810408921,268741.635687732,2050.0,103.4990902754142,0.17741028089015387,0.03430068399204398
29,894.1223139999202,-605.6112699974328,326.227356821,0.0327991137176848,0.1741728772326446,0.3790610741134307,2386.415266075037,78.01332764060811,0.9375605005770288,106.0,1793.01252471984,205678.776290631,212982.791586998,558.0,99.38141306116505,0.19534435502125336,0.03269059193076546
48,420.30842799996026,-308.0852599963546,164.756238272,0.0565785708383721,0.2276792318142614,0.4573914959417081,2368.5716214743866,79.95305242468277,0.9888770833287884,106.0,34103.0303030303,103510.642377756,395129.434324065,11100.000000000002,104.82097083285157,0.24721643286478054,0.03375580949285952
48,405.31893899990246,-354.21815999783576,31.4843323288,0.0440245311858367,0.2020739230816976,0.382379828996428,2278.802416185498,78.87280121203437,0.8701738424690729,106.0,5475.28517110266,205072.886297376,238425.655976676,1770.0,92.23842730172173,0.20949276108798742,0.034611513772247124
48,407.4855849999003,-347.54990999773145,50.7480310549,0.0393157650646183,0.1922307264262287,0.4017707911629917,2325.598595594722,83.21527513385755,0.8566142717118924,106.0,4169.81132075471,216848.364717542,210862.239841427,1230.0,90.80111280146059,0.2111057608846129,0.03578230365785761
48,422.0523139999714,-302.718129998073,180.261166515,0.0446143591618777,0.1983312772139142,0.3915133926964587,2352.5211549423298,81.77527738562685,0.8992640568967695,106.0,3069.85294117647,222791.586998088,180898.661567877,848.0,95.32199003105757,0.21148634302408353,0.03476069799152625
49,197.70536099991293,-17.16906999796629,-33.5515508336,0.0688059466424449,0.1924345839241197,0.4084506394497134,2117.7289674578965,82.81868799138216,0.7574617284122441,106.0,4791.42300194931,232449.657869012,210899.31573802495,1200.0,80.29094321169788,0.223230390005426,0.03910731225006427
52,-224.6744680000702,373.903740003705,146.919137341,0.0511385014389224,0.1661312708161235,0.3071535262269051,2196.5260856620957,82.0719180765326,0.8722099608984243,106.0,6120.0,222914.72868217,108862.403100775,2250.0,92.45425585523297,0.17480776616065033,0.037364417664902796
58,313.5644589998992,-159.97126999683678,-24.6095340499,0.074566058408761,0.2310995661505716,0.4406393398245798,2158.7366481401027,79.98024159265991,0.661486214137258,106.0,14506.0009601536,159374.880153403,348396.931927133,4720.0,70.11753869854935,0.24876832146130412,0.03704955936221692
64,-680.628575000097,448.0574100036174,228.390197669,0.036572785855276,0.1617411299422598,0.3318516965010765,1805.0039201860925,82.26294291166995,1.0343783367311674,106.0,4135.69039655996,214368.780487804,240622.43902439,1520.0,109.64410369350375,0.17672187076620408,0.04557493864234311
64,-672.7058850000612,465.8395100031048,272.59281231,0.0416935056819535,0.1850247628027476,0.34521321686809,2306.0789691357804,83.04585458301672,0.9219457416136376,106.0,7690.602409638549,219160.908193484,188918.06515301,2440.0,97.72624861104559,0.19064382845093034,0.03601171325634991
65,-856.1616770001128,543.7952500022948,230.22372546,0.0403823649022184,0.167039960497783,0.3582727627601842,2112.221888984274,76.00874981930279,1.023806014343977,106.0,3470.5301284162,229778.431372549,161656.862745098,1130.0,108.52343752046156,0.18856502938672856,0.03598521074689455
68,-1009.5894290000432,559.0016500037163,220.032265902,0.0718918098190799,0.2228084503477432,0.4381359290847827,2095.4823225563123,81.77497354027358,0.9906786372033612,106.0,4535.27562439449,252131.67938931295,263297.709923664,1580.0,105.01193554355629,0.24427872975053525,0.03902441583974566
68,-1002.0780660001328,578.1104300022125,260.746504437,0.0519086484633185,0.1896237472094626,0.41828877744764,2248.868824817604,81.79469546775837,1.1153484059594243,106.0,26472.0149253731,122186.274509803,394211.764705882,11200.000000000002,118.22693103169898,0.21994039104014038,0.03637148354990976
74,-568.2612740000477,459.5859100036323,152.371138311,0.0525262939463465,0.164654639023829,0.3646925074059068,2216.7760266923488,82.17582976457444,0.8411383058208785,106.0,5424.657534246571,228465.028355387,200667.296786389,1700.0000000000002,89.16066041701312,0.19395781345869412,0.037069974041170496
81,909.5511739999056,-706.8344999980181,292.84454407,0.0576295909571698,0.1788250694737102,0.3807360241764547,2211.851432074095,80.62570595849304,0.9868817507621268,106.0,7069.15408621965,195792.592592592,274357.407407407,2350.0,104.60946558078544,0.2057302282024449,0.03645168241832987
120,342.4451749998844,-382.72031999751925,337.81,0.0423501252219403,0.1762206420470395,0.4026910222663856,2174.237513723427,97.10534353251508,0.8084293098167997,150.0,9629.67164179104,183035.003375617,287065.387485342,2790.0000000000005,121.26439647251996,0.20708726317845513,0.04466179197056542
121,127.0951749999076,-88.51031999662519,251.62,0.0384701297754654,0.1913205054412864,0.4104661417964196,2188.54291644308,115.5080727074908,0.8551161702149764,150.0,3186.0128776622,226433.365292425,229643.336529242,724.0000000000001,128.26742553224648,0.21341892567105714,0.05277852759461524
122,186.68517499987504,-344.5703199971467,334.54,0.0308300979007897,0.1517505350391996,0.326470903874733,1983.8257161308893,102.09887734260566,0.9736089427430722,150.0,3257.79264214046,215387.677725118,239465.402843601,1055.0,146.04134141146082,0.16968384560490743,0.051465648676906936
123,297.1951749998844,-219.90031999722123,266.55,0.0312550922088833,0.1964906352167519,0.4194110268199107,1969.796570870815,116.76222327253302,1.0471992927731435,150.0,4494.79824987846,194772.72727272703,272844.696969697,1429.9999999999998,157.07989391597152,0.21571891808184862,0.05927628517543532
124,365.4751749999122,-180.9503199979663,264.01,0.0386601730339539,0.1681305532533,0.3826813159687548,2222.819841268002,100.82662016575284,1.155265677002253,150.0,3147.99043062201,205308.429118773,238553.63984674297,745.0,173.28985155033794,0.1964906807520029,0.045359780533647094
125,499.2751749999589,-248.82031999714675,238.85,0.043680177587479,0.1749305304856745,0.3871061964387208,2070.978808867499,113.5596421975124,0.9835314433244786,150.0,4588.60406932952,200447.76119403,244059.701492537,1409.9999999999998,147.5297164986718,0.20190563483729143,0.054833802118724594
126,406.11517499992624,-497.6203199978918,339.53,0.0389201183916526,0.1721405555300626,0.4569911588721387,2236.927290438757,111.79596686873056,0.907211722987284,150.0,3739.07738095238,201771.321462043,265426.429240862,1130.0,136.08175844809261,0.222683944264618,0.04997747014244821
127,500.9551749998936,-384.2903199978173,251.97,0.0405651627885224,0.142140441691935,0.3963962396972094,2241.2683538304805,100.48148689438686,1.16017415453553,150.0,4696.97986577181,213309.872922776,227990.224828934,1360.0,174.0261231803295,0.19303394805922225,0.04483242121482559
128,206.02517499995884,-172.02031999640167,348.31,0.0439201183916526,0.2172757114882973,0.4258359755927533,1941.3932752393796,127.31248394340456,1.0159242175942973,150.0,3304.59550023934,225508.604206501,238426.38623326903,937.0,152.3886326391446,0.22901060182423438,0.06557789478677706
129,462.46517499990296,-195.15031999722123,144.25,0.0527601958015794,0.2049255634987315,0.4663514912794713,2111.507190592445,117.74240291574958,1.138454301731836,150.0,6795.43758967001,124514.118792599,431809.152872444,2990.0,170.7681452597754,0.24134575019326074,0.055762255246080174
