HOLEID,X,Y,Z,cu_ppm,au_ppm,ag_ppm,fe_ppm,s_ppm,total_sulphide_ppm,CuEq_ppm
5,200.56517499987967,-520.2403199970722,311.15,17200.0,0.53,3.7,324600.0,9000.0,350800.0,17590.3
5,202.4251749998657,-515.4403199963272,296.82,3900.0,0.19,1.15,252800.0,1300.0,258000.0,4025.1
5,204.6751749998657,-509.6703199967742,279.67,4700.0,0.27,1.1,282400.0,2300.0,289400.0,4832.9
5,205.78517499996812,-506.81031999737024,271.28,10900.0,0.33,2.4,232400.0,5100.0,248400.0,11151.1
5,206.4851749999216,-505.0303199980408,266.11,8700.0,0.35,2.14,267700.0,3400.0000000000005,279800.0,8932.26
5,206.93517499987504,-503.9003199972212,262.82,1200.0,0.06,0.3,206400.0,600.0,208200.0,1234.2
5,207.3851749999449,-502.7603199966252,259.54,1900.0,0.11,0.47,250200.0,1000.0,253100.0,1955.98
5,210.8051749998704,-494.2003199979663,234.8,17400.0,1.1,2.65,344700.0,11500.0,373600.0,17787.6
6,493.6051749999169,-530.8303199969232,317.1,4100.0,0.36,0.89,269100.0,2300.0,275500.0,4228.76
6,494.5551749998704,-528.0203199964017,309.03,6100.0,0.56,1.22,301900.0,3000.0,311000.0,6286.48
6,495.2351749999216,-525.9903199970722,303.16,7700.0,0.98,1.66,180700.0,3700.0,192100.0,7986.44
6,496.79517499986105,-521.3003199975938,289.63,3300.0,0.26,0.7,242600.00000000003,1600.0,247500.00000000003,3397.8
6,499.435174999875,-513.3403199966997,266.61,10800.0,1.98,0.75,380900.00000000006,9700.0,401400.00000000006,11160.0
6,502.2451749999309,-505.0703199971467,242.66,17400.0,2.05,0.69,344600.0,15700.0,377700.0,17765.46
6,505.13517499994487,-496.7903199978173,218.71,12900.0,3.4,0.48,458400.00000000006,12900.0,484200.00000000006,13450.32
6,508.2051749998936,-488.5303199980408,194.79,14200.0,3.33,2.79,416200.0,8600.0,439000.0,14933.86
6,510.3151749998797,-483.0903199966997,179.08,5300.0,0.46,1.39,238300.0,2000.0,245600.0,5485.76
6,512.435174999875,-477.6703199967742,163.32,2700.0,0.14,0.7,211400.0,1000.0,215100.0,2779.8
6,514.8451749999076,-471.7103199977428,145.98,32000.0,4.82,7.45,485100.0,13799.999999999998,530900.0,33348.8
6,515.8651749999262,-469.1903199963272,138.69,2600.0,0.2,0.62,281300.0,1100.0,285000.0,2682.08
6,516.4451749998843,-467.7303199972957,134.48,2800.0000000000005,0.17,0.77,272500.0,1100.0,276400.0,2890.1800000000003
6,518.3851749999449,-462.8903199974448,120.49,4100.0,0.54,0.74,287600.0,2300.0,294000.0,4243.16
6,521.3851749999449,-455.3203199971467,98.45,3100.0,0.18,0.75,264100.0,1100.0,268300.0,3190.0
6,523.2351749999216,-450.81031999737024,85.22,5400.0,0.39,1.06,274500.0,1800.0,281700.0,5547.54
6,525.3551749999169,-445.8603199962527,70.58,4100.0,0.28,0.87,271300.0,1700.0000000000002,277100.0,4215.08
6,528.8551749999169,-438.0003199968487,47.1,2600.0,0.3,0.54,283300.0,1300.0,287200.0,2690.36
6,532.4251749998657,-430.1703199967742,23.63,3000.0,0.19,0.64,264700.0,1000.0,268700.0,3082.26
6,536.0351749999681,-422.2903199978173,0.18,5600.000000000001,0.15,1.31,212700.0,2200.0,220500.0,5732.540000000001
6,539.6151749999262,-414.6403199974448,-22.5,2300.0,0.1,0.46,268000.0,800.0,271100.0,2353.64
6,542.825174999889,-407.7903199978173,-42.68,2700.0,0.15,0.57,279200.0,900.0,282800.0,2770.38
6,545.6351749999449,-402.0303199980408,-59.93,3600.0,0.21,0.88,250800.0,1400.0000000000002,255800.0,3705.42
6,547.185174999875,-398.9303199965507,-69.3,6500.0,0.88,1.86,311700.0,2400.0,320600.0,6788.24
6,547.8151749998797,-397.6803199965507,-73.05,3500.0,0.28,0.99,246200.0,1300.0,251000.0,3625.16
6,549.325174999889,-394.72031999751925,-81.9,6000.0,0.45,1.33,274400.0,2400.0,282800.0,6179.22
6,550.9851749999216,-391.47031999751925,-91.53,2500.0,0.13,0.62,245000.0,900.0,248400.0,2571.58
6,553.2751749999588,-387.1803199965507,-104.28,11200.000000000002,1.17,1.46,324900.0,8100.000000000001,344200.0,11498.140000000001
6,555.7251749999123,-382.6603199969977,-117.57,4100.0,0.52,1.13,254300.0,1600.0,260000.0,4272.92
6,558.1051749999169,-378.2803199980408,-130.28,17500.0,0.97,4.4,411200.0,6500.0,435200.0,18015.1
